X Y	IV BETA SE P
GDF15 bald12 9 0.014 0.008 0.11
GDNF bald12 15 -0.013 0.016 0.43
GFAP bald12 4 -0.021 0.04 0.59
GFRA1 bald12 9 -0.009 0.021 0.67
GFRA2 bald12 18 -0.008 0.007 0.26
GFRA3 bald12 4 -0.067 0.047 0.15
GFRAL bald12 28 0.017 0.011 0.11
GGACT bald12 10 -0.032 0.005 2.6e-10
GGCT bald12 3 0.022 0.064 0.73
GGH bald12 22 0 0.01 0.98
GGT1 bald12 18 -0.005 0.016 0.76
GGT5 bald12 14 0.019 0.012 0.12
GHR bald12 28 0.011 0.007 0.1
GHRL bald12 3 0.039 0.021 0.063
GIMAP7 bald12 18 0.023 0.005 1.3e-05
GIMAP8 bald12 7 0.017 0.016 0.28
GIPC2 bald12 7 -0.019 0.019 0.33
GIPC3 bald12 6 0.018 0.015 0.23
GLO1 bald12 5 0.011 0.044 0.81
GLRX5 bald12 3 0.061 0.037 0.095
GLRX bald12 19 0.007 0.008 0.4
GM2A bald12 22 0.003 0.008 0.7
GMPR2 bald12 4 0.027 0.037 0.46
GMPR bald12 8 -0.015 0.017 0.38
GNLY bald12 16 -0.009 0.009 0.29
GNPDA1 bald12 4 -0.016 0.032 0.63
GNPDA2 bald12 11 -0.031 0.016 0.052
GOLGA3 bald12 4 0 0.027 0.99
GP1BA bald12 3 0.003 0.032 0.93
GP2 bald12 10 -0.032 0.014 0.024
GP6 bald12 8 -0.003 0.026 0.9
GPA33 bald12 3 -0.027 0.02 0.17
GPC1 bald12 10 -0.01 0.011 0.36
GPC5 bald12 60 -0.006 0.004 0.089
GPD1 bald12 3 -0.005 0.029 0.87
GPHA2 bald12 6 -0.001 0.026 0.97
GPIHBP1 bald12 10 0.013 0.014 0.36
GPNMB bald12 16 0.013 0.007 0.089
GPR158 bald12 4 0.066 0.1 0.51
GPR15L bald12 7 -0.032 0.015 0.04
GPR37 bald12 58 0.002 0.011 0.86
GPRC5C bald12 3 -0.137 0.096 0.15
GRHPR bald12 7 0.006 0.017 0.74
GRIK2 bald12 7 0.011 0.013 0.43
GRN bald12 3 0.005 0.02 0.82
GRP bald12 6 0.009 0.013 0.48
GSN bald12 8 -0.018 0.027 0.49
GSR bald12 5 0.026 0.046 0.58
GSTA1 bald12 4 0.014 0.011 0.18
GSTA3 bald12 3 0.012 0.013 0.37
GSTM4 bald12 10 -0.026 0.026 0.32
GSTP1 bald12 5 0.063 0.02 0.002
GSTT2B bald12 67 0.004 0.002 0.093
GUCA2A bald12 8 0.023 0.017 0.16
GUSB bald12 8 0.049 0.025 0.048
GZMB bald12 6 -0.003 0.013 0.84
GZMH bald12 10 -0.023 0.019 0.21
HAGH bald12 7 -0.002 0.026 0.95
HAVCR1 bald12 22 -0.006 0.004 0.16
HAVCR2 bald12 8 0.016 0.016 0.33
HBQ1 bald12 21 -0.014 0.013 0.29
HBZ bald12 82 0 0.003 0.92
HCG22 bald12 14 -0.004 0.013 0.79
HDDC2 bald12 37 0.007 0.009 0.42
HDGF bald12 52 0.003 0.005 0.53
HEG1 bald12 5 -0.048 0.069 0.49
HEPACAM2 bald12 5 0.037 0.084 0.66
HGFAC bald12 31 -0.006 0.007 0.38
HGF bald12 3 0.093 0.045 0.038
HIP1R bald12 3 -0.063 0.047 0.17
HJV bald12 3 -0.03 0.026 0.24
HLA-A bald12 65 -0.004 0.001 0.0014
HLA-DRA bald12 62 -0.004 0.008 0.62
HLA-E bald12 19 -0.012 0.016 0.45
HMBS bald12 5 -0.003 0.023 0.88
HMCN2 bald12 35 -0.001 0.007 0.88
HMOX1 bald12 3 -0.01 0.058 0.87
HNMT bald12 21 -0.002 0.021 0.91
HPCAL1 bald12 5 0.012 0.029 0.68
HPGDS bald12 12 -0.008 0.01 0.42
HPSE bald12 4 -0.012 0.024 0.61
HRC bald12 3 -0.016 0.028 0.58
HRG bald12 16 0.015 0.009 0.1
HS1BP3 bald12 4 0.02 0.021 0.33
HS3ST3B1 bald12 10 -0.012 0.021 0.55
HS6ST1 bald12 10 0.018 0.013 0.19
HSBP1 bald12 26 -0.009 0.01 0.39
HSD17B14 bald12 49 -0.011 0.006 0.1
HSDL2 bald12 25 -0.004 0.016 0.8
HSPA1A bald12 4 -0.034 0.037 0.35
HSPA2 bald12 4 0.044 0.067 0.51
HSPB1 bald12 10 0.028 0.031 0.37
HSPG2 bald12 9 -0.008 0.021 0.71
HYAL1 bald12 4 -0.01 0.02 0.63
HYOU1 bald12 5 0.015 0.024 0.53
ICAM1 bald12 22 0.011 0.008 0.17
ICAM3 bald12 21 -0.002 0.016 0.92
ICAM4 bald12 4 -0.034 0.029 0.25
ICAM5 bald12 36 -0.002 0.006 0.81
ICOSLG bald12 9 -0.012 0.013 0.36
IDI2 bald12 15 -0.02 0.006 0.00051
IDO1 bald12 6 0.012 0.014 0.38
IDUA bald12 35 0.004 0.009 0.61
IFI30 bald12 8 0.003 0.011 0.78
IFNAR1 bald12 14 -0.011 0.011 0.31
IFNGR1 bald12 3 0.032 0.021 0.13
IFNGR2 bald12 59 -0.004 0.003 0.23
IFNLR1 bald12 16 -0.008 0.014 0.6
IGDCC4 bald12 13 -0.011 0.015 0.48
IGF1R bald12 8 -0.018 0.031 0.56
IGF2R bald12 18 0 0.01 0.96
IGFBP3 bald12 7 0.03 0.027 0.26
IGFBP6 bald12 7 -0.04 0.039 0.31
IGFBP7 bald12 12 0.006 0.01 0.57
IGFBPL1 bald12 23 0.005 0.011 0.64
IGLC2 bald12 4 -0.021 0.029 0.48
IGSF21 bald12 12 0.015 0.014 0.26
IGSF3 bald12 7 0.058 0.026 0.024
IGSF9 bald12 7 -0.002 0.015 0.91
IL10RB bald12 13 -0.008 0.008 0.32
IL12B bald12 12 0.014 0.019 0.45
IL12RB1 bald12 9 0.016 0.03 0.61
IL15RA bald12 8 -0.003 0.011 0.81
IL16 bald12 16 -0.002 0.016 0.89
IL17C bald12 3 0.03 0.037 0.41
IL17D bald12 9 -0.023 0.021 0.28
IL17F bald12 3 0.026 0.043 0.55
IL17RA bald12 54 -0.012 0.003 7.4e-06
IL17RB bald12 36 0.01 0.006 0.06
IL18 bald12 8 0.013 0.01 0.17
IL18BP bald12 5 0.041 0.043 0.34
IL18R1 bald12 46 0.007 0.002 0.0015
IL1R1 bald12 11 0.007 0.027 0.79
IL1R2 bald12 22 -0.001 0.013 0.96
IL1RAP bald12 40 0.006 0.006 0.25
IL1RL1 bald12 37 0.005 0.006 0.42
IL1RL2 bald12 30 0.014 0.007 0.035
IL1RN bald12 6 0 0.02 1
IL22 bald12 4 0.064 0.038 0.093
IL22RA1 bald12 6 0.032 0.026 0.22
IL2RA bald12 28 0.007 0.006 0.29
IL31RA bald12 24 -0.011 0.005 0.043
IL32 bald12 8 0.029 0.015 0.045
IL34 bald12 38 0.012 0.009 0.16
IL4R bald12 8 -0.023 0.068 0.74
IL5RA bald12 28 0.011 0.008 0.16
IL6R bald12 37 -0.004 0.004 0.4
IL7R bald12 19 -0.002 0.012 0.88
INHBB bald12 3 0.022 0.048 0.65
INHBC bald12 18 0.033 0.014 0.014
INSL4 bald12 4 0.021 0.029 0.46
INSL5 bald12 5 0.002 0.015 0.9
IPCEF1 bald12 4 -0.082 0.047 0.078
IQGAP2 bald12 4 0.024 0.081 0.77
ISLR2 bald12 7 -0.014 0.03 0.65
ISM1 bald12 17 -0.018 0.023 0.44
ITGA11 bald12 11 -0.013 0.014 0.36
ITGA2 bald12 31 0.005 0.009 0.6
ITGA6 bald12 5 0.007 0.018 0.7
ITGAL bald12 4 -0.038 0.029 0.19
ITGAV bald12 3 -0.014 0.029 0.62
ITGB2 bald12 5 0.031 0.05 0.54
ITGB5 bald12 7 -0.035 0.042 0.41
ITGB7 bald12 5 -0.02 0.027 0.46
ITGBL1 bald12 24 -0.005 0.011 0.68
ITIH3 bald12 13 0.04 0.014 0.0059
ITIH4 bald12 12 0.055 0.036 0.13
ITPA bald12 13 0 0.006 0.98
ITPR1 bald12 3 -0.045 0.042 0.29
JAM3 bald12 4 0.043 0.04 0.28
KAZALD1 bald12 19 0.009 0.008 0.26
KDR bald12 14 0.013 0.009 0.13
KEL bald12 10 0.003 0.015 0.83
KHK bald12 6 -0.003 0.009 0.72
KIAA0319 bald12 17 -0.018 0.014 0.2
KIR2DL2 bald12 34 -0.015 0.005 0.0059
KIR2DL3 bald12 38 -0.019 0.01 0.049
KIR2DS4 bald12 42 0.001 0.003 0.63
KIR3DL1 bald12 73 -0.009 0.002 1.1e-05
KIR3DL2 bald12 4 -0.06 0.024 0.011
KIRREL2 bald12 10 0.02 0.02 0.33
KLB bald12 34 0 0.01 0.99
KLK10 bald12 28 -0.01 0.003 0.0016
KLK11 bald12 6 0.006 0.01 0.53
KLK12 bald12 30 0 0.002 0.82
KLK13 bald12 18 0.009 0.009 0.33
KLK14 bald12 24 -0.012 0.01 0.2
KLK15 bald12 43 -0.008 0.005 0.11
KLK1 bald12 13 -0.007 0.011 0.52
KLK3 bald12 4 0.024 0.046 0.61
KLK4 bald12 32 0.009 0.022 0.68
KLK6 bald12 5 0.046 0.034 0.17
KLK7 bald12 13 -0.009 0.014 0.54
KLK8 bald12 13 0 0.011 0.98
KLKB1 bald12 10 -0.002 0.009 0.79
KLRB1 bald12 7 0.001 0.018 0.97
KLRD1 bald12 18 -0.001 0.014 0.94
KLRF1 bald12 7 -0.014 0.014 0.3
KLRK1 bald12 21 0.009 0.009 0.3
KRT19 bald12 3 0.037 0.128 0.77
KRT5 bald12 3 0.016 0.028 0.56
KYAT1 bald12 4 0.027 0.046 0.55
KYNU bald12 11 -0.003 0.016 0.83
LACTB2 bald12 4 -0.037 0.018 0.036
LAG3 bald12 6 -0.051 0.047 0.27
LAIR1 bald12 25 0.011 0.01 0.26
LAIR2 bald12 48 0.002 0.006 0.71
LAMA4 bald12 3 0.064 0.026 0.015
LAMB1 bald12 22 0.011 0.006 0.085
LAMP3 bald12 5 -0.037 0.062 0.55
LAYN bald12 9 -0.03 0.031 0.34
LBP bald12 27 0.016 0.013 0.2
LCN15 bald12 16 -0.001 0.01 0.94
LCP1 bald12 18 0 0.007 0.99
LECT2 bald12 42 -0.007 0.009 0.47
LEFTY2 bald12 29 0.005 0.007 0.48
LEG1 bald12 8 0.011 0.005 0.025
LEPR bald12 10 -0.018 0.019 0.34
LGALS1 bald12 9 -0.001 0.012 0.93
LGALS3 bald12 29 0.003 0.006 0.61
LGALS3BP bald12 12 -0.016 0.029 0.59
LGALS4 bald12 5 0.034 0.025 0.17
LGALS8 bald12 8 -0.001 0.017 0.95
LGALS9 bald12 17 0.014 0.015 0.36
LGMN bald12 16 -0.001 0.035 0.98
LHPP bald12 23 -0.005 0.012 0.64
LIFR bald12 6 -0.025 0.025 0.32
LILRA2 bald12 31 0.002 0.006 0.79
LILRA3 bald12 66 0.004 0.003 0.19
LILRA5 bald12 15 0 0.012 0.99
LILRA6 bald12 77 0.004 0.006 0.54
LILRB1 bald12 17 -0.008 0.011 0.46
LILRB2 bald12 50 0.004 0.007 0.57
LILRB4 bald12 16 0.012 0.014 0.41
LILRB5 bald12 88 -0.001 0.001 0.64
LIPF bald12 4 0.001 0.01 0.96
LMOD1 bald12 6 0.017 0.025 0.49
LPA bald12 64 0 0.006 0.96
LPL bald12 12 0.007 0.015 0.66
LPO bald12 9 -0.011 0.015 0.49
LRG1 bald12 15 0.008 0.003 0.016
LRIG1 bald12 37 0.014 0.003 5e-05
LRP11 bald12 27 0.015 0.006 0.018
LRP1 bald12 3 -0.031 0.092 0.73
LRPAP1 bald12 14 -0.012 0.015 0.43
LRRC25 bald12 8 -0.015 0.018 0.39
LRRC37A2 bald12 23 0.001 0.022 0.96
LRRC38 bald12 5 -0.031 0.033 0.34
LRRN1 bald12 34 0.011 0.01 0.31
LRTM2 bald12 4 -0.047 0.034 0.16
LSP1 bald12 5 0.024 0.027 0.37
LTA bald12 44 -0.001 0.007 0.92
LTB bald12 8 0.037 0.026 0.16
LTBP2 bald12 10 -0.019 0.049 0.7
LTBP3 bald12 20 0.006 0.011 0.57
LTBR bald12 10 0.001 0.015 0.95
LUZP2 bald12 13 -0.014 0.013 0.3
LXN bald12 6 0.02 0.013 0.12
LY6D bald12 17 0.003 0.01 0.76
LY75 bald12 74 0.008 0.002 2.7e-05
LY96 bald12 4 0 0.075 1
LY9 bald12 21 0.014 0.008 0.086
LYPD3 bald12 14 -0.005 0.011 0.67
LYPD8 bald12 33 0.003 0.008 0.66
LYVE1 bald12 7 0 0.028 0.99
LYZL2 bald12 5 0 0.017 1
MAD1L1 bald12 6 0.018 0.026 0.49
MAMDC2 bald12 8 -0.004 0.02 0.86
MAMDC4 bald12 10 -0.008 0.018 0.63
MAN1A2 bald12 8 -0.009 0.02 0.66
MAN2B2 bald12 46 0.01 0.005 0.078
MANF bald12 4 0.017 0.08 0.83
MANSC4 bald12 25 -0.009 0.004 0.046
MAP2K1 bald12 5 -0.024 0.052 0.64
MAP4K5 bald12 4 0.052 0.024 0.027
MARCO bald12 5 0.004 0.018 0.83
MASP1 bald12 13 0.007 0.015 0.64
MATN2 bald12 18 0.021 0.017 0.21
MATN3 bald12 34 0.02 0.012 0.085
MBL2 bald12 52 -0.002 0.005 0.69
MCAM bald12 7 -0.004 0.02 0.82
MCEMP1 bald12 8 0.007 0.014 0.63
MDGA1 bald12 31 0.002 0.001 0.1
MDK bald12 5 -0.014 0.03 0.64
MECR bald12 4 -0.103 0.07 0.14
MEGF10 bald12 19 0.027 0.009 0.0027
MEGF11 bald12 6 0.027 0.019 0.16
MELTF bald12 43 0.005 0.007 0.47
MEP1A bald12 7 0.014 0.027 0.59
MEP1B bald12 67 -0.004 0.007 0.62
MEPE bald12 7 0.028 0.026 0.29
MERTK bald12 10 0.048 0.028 0.087
METAP1D bald12 5 0.001 0.056 0.98
MET bald12 15 -0.004 0.031 0.89
MFAP5 bald12 10 -0.005 0.02 0.81
MFGE8 bald12 10 0.037 0.029 0.21
MGLL bald12 5 0.006 0.052 0.91
MGMT bald12 20 0.01 0.011 0.38
MIA bald12 26 0.004 0.006 0.45
MILR1 bald12 53 -0.003 0.007 0.68
MLN bald12 6 0.005 0.006 0.43
MME bald12 4 0.033 0.046 0.47
MMP10 bald12 21 -0.004 0.011 0.72
MMP1 bald12 25 -0.001 0.013 0.94
MMP3 bald12 22 0.011 0.008 0.18
MMP7 bald12 8 -0.003 0.024 0.91
MMP8 bald12 15 -0.002 0.015 0.91
MOCS2 bald12 16 -0.003 0.007 0.62
MOG bald12 14 0.004 0.014 0.76
MPI bald12 6 -0.016 0.017 0.35
MPO bald12 13 0.022 0.012 0.072
MRC1 bald12 16 0.018 0.025 0.47
MRI1 bald12 12 -0.01 0.011 0.33
MSLN bald12 38 0.01 0.007 0.19
MSMB bald12 52 -0.004 0.003 0.18
MSR1 bald12 21 0.007 0.01 0.49
MSRA bald12 4 -0.045 0.086 0.6
MST1 bald12 41 -0.003 0.002 0.11
MSTN bald12 4 -0.057 0.072 0.43
MTHFSD bald12 8 -0.007 0.005 0.13
MTSS2 bald12 4 -0.104 0.059 0.078
MTUS1 bald12 7 0.017 0.023 0.46
MUC13 bald12 6 -0.01 0.021 0.65
MUC16 bald12 4 0.073 0.082 0.37
MUC2 bald12 9 0.002 0.019 0.93
MVK bald12 4 -0.141 0.05 0.0053
MXRA8 bald12 5 -0.045 0.058 0.44
MYOC bald12 12 0.009 0.008 0.24
NAA80 bald12 4 0.031 0.041 0.44
NAAA bald12 32 0.009 0.008 0.25
NADK bald12 11 0.012 0.006 0.05
NAGA bald12 9 0.039 0.013 0.003
NAGK bald12 5 0.041 0.023 0.068
NAGPA bald12 14 -0.008 0.012 0.5
NAP1L4 bald12 6 -0.038 0.032 0.24
NAPRT bald12 10 -0.02 0.025 0.42
NBN bald12 6 0.016 0.048 0.75
NCAM1 bald12 19 -0.007 0.009 0.44
NCAM2 bald12 31 0.008 0.006 0.17
NCAN bald12 7 -0.054 0.045 0.22
NCR1 bald12 14 -0.013 0.023 0.57
NCR3LG1 bald12 11 -0.01 0.016 0.54
NCS1 bald12 7 -0.031 0.026 0.24
NECTIN2 bald12 7 0.015 0.027 0.57
NECTIN4 bald12 4 0.007 0.014 0.6
NELL1 bald12 16 0.002 0.014 0.87
NELL2 bald12 6 0.033 0.045 0.47
NEO1 bald12 4 0.027 0.059 0.65
NFASC bald12 15 -0.001 0.009 0.91
NFATC1 bald12 7 0.003 0.024 0.91
NHLRC3 bald12 10 0.002 0.012 0.84
NID1 bald12 9 -0.021 0.027 0.43
NID2 bald12 31 -0.011 0.016 0.5
NINJ1 bald12 6 0.004 0.092 0.96
NIT2 bald12 4 -0.039 0.039 0.32
NME3 bald12 7 -0.002 0.014 0.9
NMI bald12 9 -0.002 0.009 0.84
NMNAT1 bald12 4 0.014 0.032 0.67
NOMO1 bald12 4 0.03 0.064 0.63
NOS1 bald12 4 -0.015 0.02 0.47
NOTCH1 bald12 8 -0.032 0.031 0.31
NOTCH2 bald12 11 0.024 0.019 0.21
NOTCH3 bald12 5 -0.028 0.041 0.5
NPC2 bald12 8 0.022 0.012 0.076
NPHS1 bald12 16 0.008 0.014 0.54
NPL bald12 14 -0.009 0.01 0.36
NPPB bald12 7 -0.021 0.024 0.39
NPPC bald12 4 -0.218 0.094 0.02
NPTX1 bald12 25 0.008 0.008 0.35
NPTX2 bald12 19 -0.03 0.013 0.024
NPTXR bald12 12 0.005 0.012 0.7
NPY bald12 6 -0.009 0.037 0.81
NRCAM bald12 13 -0.021 0.022 0.36
NRP1 bald12 13 0.009 0.038 0.8
NRP2 bald12 10 0.05 0.02 0.014
NT5C bald12 9 -0.016 0.009 0.081
NT5E bald12 35 0.003 0.008 0.74
NTF3 bald12 12 0.016 0.021 0.45
NTproBNP bald12 12 -0.018 0.015 0.24
NTRK2 bald12 6 -0.023 0.04 0.57
NTRK3 bald12 9 -0.02 0.027 0.46
NUB1 bald12 4 0.031 0.026 0.23
NUCB2 bald12 14 -0.022 0.004 6.6e-07
NUDT16 bald12 6 0.008 0.025 0.76
NUDT2 bald12 6 -0.025 0.018 0.17
NXPH3 bald12 4 -0.002 0.028 0.95
OBP2B bald12 25 0.005 0.008 0.53
OCLN bald12 5 -0.022 0.028 0.44
ODAM bald12 5 -0.01 0.018 0.59
OGA bald12 4 -0.033 0.034 0.33
OGFR bald12 5 0.008 0.031 0.8
OGN bald12 13 0.001 0.01 0.93
OLFM4 bald12 34 0.011 0.007 0.086
OLR1 bald12 5 0.046 0.052 0.38
OMD bald12 4 -0.048 0.06 0.42
OPLAH bald12 6 -0.041 0.039 0.3
OPTC bald12 6 -0.017 0.013 0.21
ORM1 bald12 15 -0.011 0.012 0.35
OSCAR bald12 33 0 0.007 0.98
OSMR bald12 33 -0.001 0.008 0.94
OXT bald12 18 0.012 0.01 0.2
PADI4 bald12 14 -0.009 0.013 0.5
PAEP bald12 39 0 0.01 0.97
PALM2 bald12 8 0.03 0.02 0.13
PALM bald12 10 0.02 0.027 0.47
PAM bald12 28 0.028 0.014 0.046
PAMR1 bald12 18 -0.009 0.006 0.14
PBLD bald12 17 -0.004 0.009 0.69
PCBD1 bald12 5 -0.024 0.024 0.31
PCDH12 bald12 10 -0.026 0.013 0.048
PCDH17 bald12 5 0.017 0.056 0.76
PCDH7 bald12 4 0.049 0.04 0.22
PCDH9 bald12 21 0.009 0.009 0.35
PCDHB15 bald12 25 -0.01 0.006 0.13
PCSK7 bald12 10 -0.019 0.016 0.22
PCSK9 bald12 10 -0.009 0.011 0.45
PDCD1 bald12 12 0 0.018 0.99
PDCD1LG2 bald12 24 -0.01 0.01 0.29
PDCD5 bald12 11 -0.012 0.017 0.48
PDCD6 bald12 58 0.005 0.005 0.36
PDE5A bald12 7 -0.04 0.026 0.12
PDGFA bald12 4 0.044 0.056 0.43
PDGFRA bald12 5 -0.001 0.013 0.92
PDGFRB bald12 57 -0.001 0.005 0.81
PDZD2 bald12 4 -0.048 0.066 0.47
PEAR1 bald12 10 0.003 0.014 0.82
PECR bald12 4 0.026 0.014 0.059
PENK bald12 11 0.006 0.015 0.71
PEPD bald12 12 -0.005 0.014 0.74
PER3 bald12 17 -0.019 0.017 0.26
PGA4 bald12 5 -0.003 0.078 0.97
PGLYRP1 bald12 4 0.021 0.017 0.2
PGLYRP2 bald12 48 0.011 0.004 0.0034
PGLYRP4 bald12 11 -0.007 0.027 0.78
PHACTR2 bald12 4 0.005 0.021 0.8
PHYKPL bald12 14 0.029 0.027 0.27
PI16 bald12 15 0.008 0.017 0.65
PI3 bald12 7 -0.013 0.015 0.39
PIGR bald12 6 0.003 0.022 0.87
PIK3AP1 bald12 10 -0.003 0.02 0.89
PILRA bald12 57 0.001 0.006 0.82
PILRB bald12 78 -0.011 0.002 1.5e-06
PINLYP bald12 43 0.001 0.009 0.91
PKD1 bald12 23 -0.018 0.013 0.19
PKLR bald12 9 -0.022 0.02 0.26
PLA2G10 bald12 8 -0.002 0.017 0.89
PLA2G15 bald12 8 0.019 0.018 0.28
PLA2G2A bald12 28 -0.004 0.016 0.83
PLA2G7 bald12 6 -0.002 0.035 0.96
PLAU bald12 7 0.018 0.022 0.41
PLAUR bald12 8 -0.009 0.025 0.7
PLB1 bald12 52 0.005 0.007 0.53
PLCB2 bald12 5 0.043 0.034 0.21
PLEKHO1 bald12 4 0.015 0.067 0.82
PLG bald12 17 -0.003 0.008 0.73
PLTP bald12 15 0.01 0.008 0.19
PLXDC1 bald12 23 0.021 0.013 0.092
PLXDC2 bald12 8 -0.025 0.038 0.51
PLXNB2 bald12 48 0.002 0.008 0.85
PM20D1 bald12 60 0.002 0.006 0.79
PMM2 bald12 9 0.022 0.014 0.12
PMVK bald12 4 -0.05 0.037 0.17
PNLIPRP1 bald12 10 -0.005 0.017 0.76
PNLIPRP2 bald12 38 0.003 0.002 0.12
PNMA1 bald12 4 0.112 0.048 0.019
PODXL2 bald12 9 0.018 0.013 0.16
PODXL bald12 5 0.011 0.074 0.88
POMC bald12 5 -0.055 0.054 0.3
PON1 bald12 46 -0.007 0.005 0.14
PON2 bald12 36 0.003 0.006 0.64
PON3 bald12 11 0.009 0.011 0.41
POSTN bald12 16 0.021 0.017 0.23
PPCDC bald12 10 -0.017 0.013 0.17
PPL bald12 7 0.023 0.05 0.64
PPP1R14A bald12 8 -0.037 0.033 0.26
PRAP1 bald12 14 -0.009 0.011 0.38
PRCP bald12 5 0.003 0.025 0.91
PRDX2 bald12 4 0.022 0.022 0.32
PRDX5 bald12 4 -0.005 0.031 0.88
PRDX6 bald12 4 -0.017 0.032 0.6
PRELP bald12 12 -0.02 0.023 0.37
PRG2 bald12 4 0.02 0.069 0.77
PRG3 bald12 9 0.011 0.034 0.75
PRKAB1 bald12 5 0.03 0.047 0.53
PRKAR2A bald12 4 0.02 0.039 0.62
PRKG1 bald12 5 -0.061 0.057 0.29
PRND bald12 9 0.006 0.013 0.66
PROC bald12 7 -0.03 0.024 0.22
PROCR bald12 20 -0.016 0.011 0.14
PROK1 bald12 24 -0.004 0.008 0.66
PROS1 bald12 9 -0.003 0.038 0.95
PRR4 bald12 27 0 0.007 0.97
PRRT3 bald12 6 -0.008 0.024 0.74
PRSS22 bald12 8 0.025 0.016 0.12
PRSS27 bald12 6 -0.036 0.017 0.038
PRSS2 bald12 5 0.009 0.037 0.8
PRSS8 bald12 6 0.008 0.027 0.78
PRTFDC1 bald12 5 -0.019 0.023 0.41
PRTG bald12 35 0.023 0.009 0.011
PRTN3 bald12 12 0.002 0.008 0.84
PSAP bald12 7 0.01 0.014 0.45
PSAPL1 bald12 21 -0.01 0.008 0.22
PSCA bald12 22 -0.005 0.006 0.4
PSG1 bald12 99 -0.006 0.005 0.23
PSMD9 bald12 4 -0.008 0.025 0.75
PSRC1 bald12 8 -0.016 0.035 0.64
PSTPIP2 bald12 4 0 0.028 0.99
PTGDS bald12 9 0.004 0.045 0.93
PTGR1 bald12 21 0.02 0.009 0.027
PTH1R bald12 11 0.009 0.017 0.59
PTN bald12 6 -0.022 0.031 0.49
PTPRB bald12 13 0.018 0.023 0.44
PTPRC bald12 8 0.039 0.017 0.018
PTPRH bald12 24 0 0.008 0.97
PTPRM bald12 7 0.009 0.037 0.81
PTPRN2 bald12 9 0.018 0.023 0.43
PTPRR bald12 6 -0.031 0.024 0.21
PTPRS bald12 24 0.015 0.011 0.18
PTPRZ1 bald12 7 -0.013 0.018 0.47
PTX3 bald12 4 -0.067 0.061 0.27
PVALB bald12 18 -0.001 0.01 0.89
PVR bald12 31 0.012 0.007 0.077
PXDNL bald12 9 -0.019 0.018 0.29
PXN bald12 26 0.01 0.01 0.3
PYDC1 bald12 12 0.011 0.012 0.4
PYY bald12 5 0.013 0.023 0.58
PZP bald12 25 -0.019 0.011 0.085
QPCT bald12 17 -0.012 0.009 0.18
QSOX1 bald12 25 0.02 0.013 0.12
RAB11FIP3 bald12 4 0.058 0.064 0.37
RAB44 bald12 8 0.058 0.029 0.047
RABEPK bald12 6 0.022 0.031 0.47
RARRES1 bald12 21 -0.002 0.006 0.68
RARRES2 bald12 4 -0.017 0.025 0.5
RASSF2 bald12 4 0.03 0.035 0.39
RBKS bald12 5 -0.044 0.026 0.088
RBP5 bald12 5 0.01 0.016 0.53
RBP7 bald12 8 0.009 0.028 0.75
RECK bald12 8 0.001 0.014 0.95
REG1A bald12 22 0.007 0.014 0.62
REG1B bald12 18 -0.003 0.013 0.79
REG3A bald12 10 -0.003 0.018 0.86
REG3G bald12 10 0.021 0.02 0.29
REG4 bald12 7 -0.001 0.023 0.98
RELT bald12 15 -0.03 0.021 0.16
REN bald12 5 -0.01 0.031 0.74
RET bald12 18 0.003 0.011 0.8
RETN bald12 13 -0.008 0.013 0.53
RGMA bald12 13 0.018 0.018 0.31
RIDA bald12 4 -0.01 0.016 0.55
RILP bald12 4 -0.058 0.048 0.22
RILPL2 bald12 4 0.012 0.047 0.8
RLN2 bald12 7 -0.034 0.027 0.2
RNASE10 bald12 33 0.007 0.005 0.18
RNASE1 bald12 6 0.001 0.023 0.97
RNASE3 bald12 17 0 0.016 0.98
RNASE4 bald12 11 0.002 0.017 0.89
RNASE6 bald12 11 0.005 0.006 0.41
RNASET2 bald12 15 0.003 0.009 0.71
RNF149 bald12 8 -0.003 0.02 0.86
RNF43 bald12 4 -0.035 0.032 0.28
ROBO1 bald12 12 0.01 0.018 0.6
ROBO2 bald12 11 -0.001 0.029 0.98
ROR1 bald12 13 -0.019 0.013 0.14
RSPO1 bald12 6 0.009 0.012 0.43
RSPO3 bald12 6 0.033 0.02 0.1
RTBDN bald12 7 -0.018 0.023 0.42
RTN4R bald12 18 0.005 0.013 0.7
S100A13 bald12 8 0.007 0.022 0.77
S100A3 bald12 5 0.041 0.055 0.46
S100A4 bald12 6 0.009 0.022 0.69
SAA4 bald12 14 0.017 0.009 0.075
SAMD9L bald12 7 -0.011 0.015 0.47
SAT2 bald12 18 0.011 0.019 0.58
SBSN bald12 13 -0.005 0.006 0.41
SCARA5 bald12 9 -0.006 0.013 0.63
SCARB2 bald12 7 0.015 0.013 0.24
SCARF1 bald12 10 0.006 0.01 0.53
SCARF2 bald12 10 0.008 0.016 0.61
SCG3 bald12 30 0.005 0.009 0.6
SCGB1A1 bald12 11 -0.007 0.012 0.56
SCGB3A1 bald12 7 0.024 0.053 0.65
SCGB3A2 bald12 8 -0.009 0.021 0.68
SCGN bald12 4 -0.061 0.041 0.14
SCLY bald12 9 0.014 0.03 0.64
SCN4B bald12 27 -0.007 0.007 0.34
SCPEP1 bald12 8 0.027 0.014 0.044
SCRG1 bald12 6 0.013 0.059 0.83
SCRN1 bald12 5 0.03 0.042 0.47
SDC1 bald12 5 0.028 0.028 0.32
