Index,Name,ICD-10 Chapter,ICD-10 Chapter (short),Colour,"AUC Female, (no gap)","AUC Male, (no gap)","AUC Female, (1 year gap)","AUC Male, (1 year gap)","N tokens, training","N tokens, validation"
285,F10 Mental and behavioural disorders due to use of alcohol,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.749547879281623,0.725148573154229,0.726707056067448,0.700713980814381,9391,2353
286,F11 Mental and behavioural disorders due to use of opioids,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.76155956030797,0.920072177755482,0.859017211764899,0.907397252924703,255,63
287,F12 Mental and behavioural disorders due to use of cannabinoids,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.799629338883246,0.865954886643892,0.763382124567745,0.898858355394507,306,87
288,F13 Mental and behavioural disorders due to use of sedatives or hypnotics,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.884690058441046,0.823807086341007,0.790099597052931,0.82180145881612,217,52
289,F14 Mental and behavioural disorders due to use of cocaine,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.252887460671605,0.953526073653605,0.469797123667364,0.932076814885187,62,13
290,"F15 Mental and behavioural disorders due to use of other stimulants, including caffeine",V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.95401558809398,0.758401377799587,0.965932521733231,0.87287282677508,60,18
291,F16 Mental and behavioural disorders due to use of hallucinogens,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.881598195561676,0.807785320207532,0.867277020277955,0.805279416123124,30,9
292,F17 Mental and behavioural disorders due to use of tobacco,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.795561361713382,0.786221712930262,0.784315897663696,0.776133213818762,34427,8679
293,F18 Mental and behavioural disorders due to use of volatile solvents,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,,,,,7,3
294,F19 Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.855428202528323,0.872394895156068,0.762403348622617,0.807917380303191,243,58
295,F20 Schizophrenia,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.881024114526896,0.836705964704294,0.840994774707581,0.810725505808258,1043,290
296,F21 Schizotypal disorder,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.998754482564325,0.997808646142272,0.996432142320217,0.998116555080762,19,6
297,F22 Persistent delusional disorders,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.824093245535765,0.86526307286008,0.738183513205289,0.783849248941621,417,142
298,F23 Acute and transient psychotic disorders,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.752539092835352,0.820313399878431,0.674594347836586,0.601561232866144,236,67
299,F24 Induced delusional disorder,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,,,,,3,2
300,F25 Schizoaffective disorders,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.905277063683191,0.94964620355096,0.85391599705669,0.940212351644954,260,85
301,F28 Other nonorganic psychotic disorders,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,,0.995793397240103,,0.763241542650749,11,3
302,F29 Unspecified nonorganic psychosis,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.890589459615309,0.917389036793357,0.850982863609454,0.853553875929902,461,116
303,F30 Manic episode,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.833799325714608,0.763870148508203,0.796505392702408,0.7349535169416,385,106
304,F31 Bipolar affective disorder,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.847660371072266,0.852503993619112,0.837577312720772,0.814578370942266,1565,407
305,F32 Depressive episode,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.687772898278375,0.710069599372436,0.661748469058246,0.677763668396244,46163,11580
306,F33 Recurrent depressive disorder,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.847114282804962,0.884987284717039,0.786575884530876,0.845396551801489,3025,760
307,F34 Persistent mood [affective] disorders,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.816845071444136,0.845622181856591,0.766958380737929,0.806182772075235,735,171
308,F38 Other mood [affective] disorders,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.822416429563237,0.784687805780627,0.832371922658776,0.859804251491317,129,34
309,F39 Unspecified mood [affective] disorder,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.871981135867026,0.860105286405184,0.84704012472992,0.852705381494202,722,191
310,F40 Phobic anxiety disorders,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.70231083505788,0.721694288824681,0.681198771972793,0.71181072409991,3145,747
311,F41 Other anxiety disorders,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.751144467414497,0.777158717025521,0.724675956886134,0.742695976500233,23989,5896
312,F42 Obsessive-compulsive disorder,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.730896562724961,0.795279180374883,0.70423851628784,0.742387271892591,702,184
313,"F43 Reaction to severe stress, and adjustment disorders",V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.812261859420875,0.783237285453235,0.797482305480404,0.745644904671538,11680,2893
314,F44 Dissociative [conversion] disorders,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.869440835844735,0.746606566704316,0.842166655636626,0.677838089074628,272,80
315,F45 Somatoform disorders,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.717577554691583,0.788404380640264,0.701402820897679,0.78288145501468,2450,625
316,F48 Other neurotic disorders,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.789711216874579,0.824198533680638,0.79956688605122,0.707721753931864,304,78
317,F50 Eating disorders,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.81295769163589,0.728510307800331,0.657698638900617,0.653113832333157,752,190
318,F51 Nonorganic sleep disorders,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.811086703575898,0.706413325415088,0.778201264517942,0.740198569223972,453,123
319,"F52 Sexual dysfunction, not caused by organic disorder or disease",V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.877946001012538,0.694525208642558,0.877702837642099,0.660661118712594,1912,457
320,"F53 Mental and behavioural disorders associated with the puerperium, not elsewhere classified",V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.825062336373636,,0.815966306883857,,1009,259
321,F54 Psychological and behavioural factors associated with disorders or diseases classified elsewhere,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.96829683069704,,0.737579519760452,,10,2
322,F55 Abuse of non-dependence-producing substances,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.799977604210408,0.9519287101847,0.935115790565597,0.962144300792403,24,4
323,F59 Unspecified behavioural syndromes associated with physiological disturbances and physical factors,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,,,,,3,1
324,F60 Specific personality disorders,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.941887051902162,0.84855031535285,0.884885433008883,0.794083089202334,628,153
325,F61 Mixed and other personality disorders,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.986438466139932,0.536361042844819,0.983517355385338,0.50022124971784,29,6
326,"F62 Enduring personality changes, not attributable to brain damage and disease",V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.834409382136227,0.733231182458817,0.707171715283036,0.792753126101225,36,10
327,F63 Habit and impulse disorders,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.782543087321976,0.889748519067806,0.752969552362674,0.889070421673471,44,10
328,F64 Gender identity disorders,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.698395054247037,0.802333286981497,0.730928250658208,0.761722861955581,74,16
329,F65 Disorders of sexual preference,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,,0.255073841856595,,0.244828745149562,25,4
330,F66 Psychological and behavioural disorders associated with sexual development and orientation,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.923660898686902,0.786190234243378,0.813589281460822,0.771944381860564,302,80
331,F68 Other disorders of adult personality and behaviour,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.957328536726455,0.954720421624516,0.82012138905264,0.848417392280103,12,9
332,F69 Unspecified disorder of adult personality and behaviour,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.998621125878919,0.754457595242491,0.998158774465368,0.867409722566695,123,37
333,F70 Mild mental retardation,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.984003567350174,0.912087838513642,0.972981570586848,0.912920414022632,50,11
334,F71 Moderate mental retardation,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.501248919454713,0.901539437237029,0.499122922537849,0.576767611959451,10,4
335,F72 Severe mental retardation,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,,,,,3,0
336,F78 Other mental retardation,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,,,,,2,1
337,F79 Unspecified mental retardation,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.935775983593971,0.917403750814538,0.940607258943276,0.865875964377557,101,35
338,F80 Specific developmental disorders of speech and language,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.885763352702257,0.74821307120568,0.843552433733603,0.677791873446688,247,51
339,F81 Specific developmental disorders of scholastic skills,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.796501673910404,0.805547836921447,0.816431343922574,0.750670223942104,358,81
340,F82 Specific developmental disorder of motor function,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.754656752363193,0.791000192824654,0.750479931158778,0.929896735199832,15,4
341,F83 Mixed specific developmental disorders,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,,,,,1,1
342,F84 Pervasive developmental disorders,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.781146305232424,0.838966543765413,0.783647526358233,0.799995464373288,204,66
343,F88 Other disorders of psychological development,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,,,,,2,1
344,F89 Unspecified disorder of psychological development,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,,,,,6,2
345,F90 Hyperkinetic disorders,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.926310948029977,0.741344117661819,0.868252447530441,0.792155202690112,49,13
346,F91 Conduct disorders,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.720824905098821,0.853910794247443,0.705827201063658,0.722987550270045,118,30
347,F92 Mixed disorders of conduct and emotions,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,,,,,6,1
348,F93 Emotional disorders with onset specific to childhood,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,,,,,22,1
349,F94 Disorders of social functioning with onset specific to childhood and adolescence,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,,,,,3,0
350,F95 Tic disorders,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.604870697283389,0.357274642854357,0.550481232193112,0.463607145929591,39,8
351,F98 Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.767017488355434,0.5031365363138,0.685349006170821,0.47838711205048,132,35
352,"F99 Mental disorder, not otherwise specified",V. Mental and behavioural disorders,V. Mental Disorders,#9edae5,0.907752464175083,0.817087895335726,0.901310514772328,0.781818508839102,350,75
353,"G00 Bacterial meningitis, not elsewhere classified",VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.757485001255394,0.799708653219464,0.599054759938688,0.76078278360727,174,47
354,G01 Meningitis in bacterial diseases classified elsewhere,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.500418404078496,0.740058814306116,0.487259257341807,0.567289531939201,43,16
355,G02 Meningitis in other infectious and parasitic diseases classified elsewhere,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.934722255810522,0.646119579056029,0.835382180266139,0.522697715944104,74,19
356,G03 Meningitis due to other and unspecified causes,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.68296591492322,0.821016081202917,0.55216074039138,0.68856993439503,1907,468
357,"G04 Encephalitis, myelitis and encephalomyelitis",VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.808544633522382,0.774721066592667,0.702283862004869,0.667263304442834,619,178
358,"G05 Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere",VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.705807285675947,0.671076364617909,0.555387731496327,0.467363476587379,79,25
359,G06 Intracranial and intraspinal abscess and granuloma,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.716723372621551,0.809077883212891,0.635576482723645,0.553364619668216,281,70
360,G07 Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,,,,,4,2
361,G08 Intracranial and intraspinal phlebitis and thrombophlebitis,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.771122489982615,0.858679845007006,0.532282458904426,0.268947660506657,84,21
362,G09 Sequelae of inflammatory diseases of central nervous system,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.875203318933812,0.930623075224645,0.716026452572305,0.911907562801754,78,21
363,G10 Huntington's disease,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.670164402482127,0.651562248629883,0.863749490627667,0.631274643309716,41,13
364,G11 Hereditary ataxia,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.612870124051322,0.766081604518037,0.586757729434276,0.729817392247952,306,70
365,G12 Spinal muscular atrophy and related syndromes,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.618807713147315,0.702823277618958,0.540562284899308,0.645666698070932,513,130
366,G13 Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.982827680459976,0.906043653730923,0.91492259937961,0.823172750252282,22,6
367,G14 Postpolio syndrome,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.963697761933856,0.90808497658537,0.948635381450808,0.948262127674415,61,13
368,G20 Parkinson's disease,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.635686083087896,0.58587929151101,0.647575343887355,0.585685716092043,2723,668
369,G21 Secondary parkinsonism,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.911965512846353,0.87987213642355,0.840855874373841,0.772070055906293,180,34
370,G22 Parkinsonism in diseases classified elsewhere,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,,,,,3,1
371,G23 Other degenerative diseases of basal ganglia,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.896575143431257,0.864652978391469,0.798828798271032,0.836125931863107,202,53
372,G24 Dystonia,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.776381382414441,0.750064020697148,0.753158133345718,0.698619511841012,957,257
373,G25 Other extrapyramidal and movement disorders,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.756011105267844,0.753729198458885,0.716789245067612,0.731172550801689,4177,1093
374,G30 Alzheimer's disease,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.765659197194311,0.673832587611131,0.72380260419066,0.59550305302129,1915,456
375,"G31 Other degenerative diseases of nervous system, not elsewhere classified",VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.787114356724862,0.831241692931025,0.717694592770433,0.74282062115663,1857,441
376,G32 Other degenerative disorders of nervous system in diseases classified elsewhere,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.999697061448426,0.897470161354414,0.921336448866341,0.638644159187808,40,8
377,G35 Multiple sclerosis,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.628291167711871,0.68071405279771,0.600116802842569,0.629049712222135,1966,511
378,G36 Other acute disseminated demyelination,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.995513039806251,0.997516724503768,0.996234330227986,0.985722045370562,30,7
379,G37 Other demyelinating diseases of central nervous system,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.832232073760892,0.775985776867159,0.770089821335512,0.752560206589969,506,138
380,G40 Epilepsy,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.705915428922381,0.717163804867531,0.666728479100936,0.652598422765398,6571,1612
381,G41 Status epilepticus,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.950606370778569,0.897640666689396,0.823779599594017,0.829149165389399,247,80
382,G43 Migraine,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.6507302719782,0.65579159434022,0.638030352370563,0.645703362304786,20507,5149
383,G44 Other headache syndromes,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.779157502401764,0.768922486641762,0.75187516179295,0.75774100648755,4740,1183
384,G45 Transient cerebral ischaemic attacks and related syndromes,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.684671532797422,0.674614266000787,0.622517602685266,0.617121759447108,7399,1935
385,G46 Vascular syndromes of brain in cerebrovascular diseases,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.770771913749966,0.732299027205928,0.552995530753032,0.758348896465517,202,47
386,G47 Sleep disorders,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.743424234238109,0.715049585460745,0.727351345352321,0.702532435545269,15217,3867
387,G50 Disorders of trigeminal nerve,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.716264753623534,0.735626940241109,0.690280527609128,0.705250447928471,2532,648
388,G51 Facial nerve disorders,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.676988436560441,0.650233674489727,0.64312271144942,0.618273288143117,2754,731
389,G52 Disorders of other cranial nerves,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.69257923399301,0.642253971050917,0.629981736389492,0.528142869345357,372,112
390,G53 Cranial nerve disorders in diseases classified elsewhere,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.679957105994252,0.725516049991579,0.653082330704664,0.717505341178872,175,59
391,G54 Nerve root and plexus disorders,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.761764911807324,0.759852446701111,0.70483488575081,0.728656806453076,1086,271
392,G55 Nerve root and plexus compressions in diseases classified elsewhere,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.817494786965523,0.816801003454856,0.766854239317156,0.746179388911969,6587,1616
393,G56 Mononeuropathies of upper limb,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.668787566640612,0.69482489149962,0.649585690581801,0.677138645738074,19721,4957
394,G57 Mononeuropathies of lower limb,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.75935181637156,0.782578828235308,0.718033686264661,0.775570001885805,4141,1072
395,G58 Other mononeuropathies,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.802568114621332,0.765415467769448,0.757255129311987,0.724069851973594,797,211
396,G59 Mononeuropathy in diseases classified elsewhere,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.980829929619488,0.987220866571362,0.981880315581971,0.979943294079016,272,80
397,G60 Hereditary and idiopathic neuropathy,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.785706201411332,0.773020882058424,0.716884767172053,0.683054408657687,418,86
398,G61 Inflammatory polyneuropathy,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.650294557899516,0.659531778756622,0.549959827371567,0.636228032418006,533,121
399,G62 Other polyneuropathies,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.775773264739899,0.791334907590364,0.715162489874549,0.718174985007251,3742,928
400,G63 Polyneuropathy in diseases classified elsewhere,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.962450272500077,0.957341909190824,0.939553386831099,0.948496779717659,1006,230
401,G64 Other disorders of peripheral nervous system,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.659431913706379,0.497674309938391,0.689953780815214,0.517988059574478,230,56
402,G70 Myasthenia gravis and other myoneural disorders,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.759541731746911,0.704871240477952,0.633305067980924,0.58269757171885,395,99
403,G71 Primary disorders of muscles,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.769239968897378,0.772345023805397,0.758363993932464,0.676564302245171,259,61
404,G72 Other myopathies,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.862593400900787,0.838031377719587,0.751008820379194,0.77959737408281,346,89
405,G73 Disorders of myoneural junction and muscle in diseases classified elsewhere,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.856959986546159,,0.839476906938245,,33,3
406,G80 Infantile cerebral palsy,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.803618005770661,0.754767580634904,0.769552556120632,0.830296885568163,227,51
407,G81 Hemiplegia,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.869088308436381,0.880349958164302,0.769898583188259,0.77638750474989,3141,773
408,G82 Paraplegia and tetraplegia,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.908851624909579,0.880413406804885,0.777341003556773,0.68155502358968,509,131
409,G83 Other paralytic syndromes,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.792172224407306,0.765124742117313,0.763941923677313,0.719819752151502,1059,303
410,G90 Disorders of autonomic nervous system,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.755333048876856,0.714764776506433,0.744864539442836,0.666978322126388,560,143
411,G91 Hydrocephalus,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.750995385781729,0.779675605989032,0.648905737644883,0.679986526870289,810,218
412,G92 Toxic encephalopathy,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,,0.964253637506736,,0.347335730630925,15,2
413,G93 Other disorders of brain,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.753711645960934,0.755870401630119,0.673290619685504,0.704577670186982,3991,1061
414,G94 Other disorders of brain in diseases classified elsewhere,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.835856971669821,0.897906657777088,0.737429413482055,0.852150860917284,122,38
415,G95 Other diseases of spinal cord,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.770388104827629,0.817157994257297,0.678077937765679,0.705919462126796,1511,374
416,G96 Other disorders of central nervous system,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.74243510767534,0.825560616857796,0.6768740836734,0.577377346840256,434,109
417,"G97 Postprocedural disorders of nervous system, not elsewhere classified",VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.839226408790078,0.808014264516591,0.718089746365905,0.687181398539007,298,79
418,"G98 Other disorders of nervous system, not elsewhere classified",VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.679470734198796,0.678788243054025,0.677825455648888,0.631316203681217,1689,426
419,G99 Other disorders of nervous system in diseases classified elsewhere,VI. Diseases of the nervous system,VI. Nervous System Diseases,#7f7f7f,0.850330972720645,0.811922395283882,0.788918129444278,0.710027832220561,1857,481
420,H00 Hordeolum and chalazion,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.791780646992147,0.777950347803734,0.751513111694201,0.753467687701198,10303,2522
421,H01 Other inflammation of eyelid,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.803997154102318,0.792905055885847,0.762062118710735,0.738034197958955,4354,1094
422,H02 Other disorders of eyelid,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.643213473688007,0.620468203613343,0.610820499149826,0.585385108563486,10424,2655
423,H03 Disorders of eyelid in diseases classified elsewhere,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.495686874879587,0.785540613414064,0.671792520364079,0.650046891644493,72,17
424,H04 Disorders of lachrymal system,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.736709234339428,0.740369777091076,0.699139467042569,0.702062235482241,12292,3124
425,H05 Disorders of orbit,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.737497065300121,0.761118584174278,0.712162700865284,0.700701538217957,928,247
426,H06 Disorders of lachrymal system and orbit in diseases classified elsewhere,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.829766976504975,0.884324232660231,0.81518578017688,0.891454025002636,172,31
427,H10 Conjunctivitis,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.821924209910727,0.79641799377687,0.793384038239919,0.759475439601513,19054,4713
428,H11 Other disorders of conjunctiva,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.757747981770724,0.780123019288266,0.726919098657915,0.756754623435099,7007,1697
429,H13 Disorders of conjunctiva in diseases classified elsewhere,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.700814220627716,0.668388070839271,0.568468781495384,0.684568260428628,121,27
430,H15 Disorders of sclera,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.796248110942251,0.838526708801617,0.770561492343108,0.811537298947725,1031,280
431,H16 Keratitis,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.700533313067308,0.725028859555916,0.672671599489259,0.677383060787667,1351,349
432,H17 Corneal scars and opacities,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.751332562015193,0.787902548642905,0.691086915264665,0.765949755499034,383,98
433,H18 Other disorders of cornea,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.700880207470056,0.678629432293766,0.63567988532585,0.636903782486079,2982,738
434,H19 Disorders of sclera and cornea in diseases classified elsewhere,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.801889672794559,0.829884321995331,0.787550844688339,0.840722426244857,151,32
435,H20 Iridocyclitis,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.769806777268178,0.776577990259984,0.671832417522063,0.744814386582803,2298,559
436,H21 Other disorders of iris and ciliary body,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.755648287637924,0.732173527021716,0.65828447786478,0.653393494600339,881,238
437,H22 Disorders of iris and ciliary body in diseases classified elsewhere,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.946140393238934,0.972923153576477,0.945646819661988,0.975544213246313,59,6
438,H25 Senile cataract,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.711821584603279,0.736442497249513,0.683301606557513,0.702998360582936,20899,5296
439,H26 Other cataract,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.660358691651074,0.664077432380315,0.62708920280104,0.627006834203804,33217,8100
440,H27 Other disorders of lens,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.85220924625475,0.849742679806747,0.75931713149806,0.703838578657158,480,124
441,H28 Cataract and other disorders of lens in diseases classified elsewhere,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.953481492563857,0.978455720280389,0.971441358343518,0.973267996193906,66,17
442,H30 Chorioretinal inflammation,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.793462302454627,0.691120215364672,0.715341121013551,0.559131004162315,187,47
443,H31 Other disorders of choroid,VII. Diseases of the eye and adnexa,VII. Eye Diseases,#aec7e8,0.795669523112881,0.820605016880443,0.764622010583015,0.749911453905399,680,166
